Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Aplāya,Enlil-balāss[u-iqbi],,Male,,1224,-,-,-,-,-,-,"less probable","CBS 12861",,"Stolper 1985, no. 19",Murašû,"Legal document","01.III.38 Art I",427,Nippur,,https://cdli.ucla.edu/P267462,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486763,,,151,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
Aplāya,[Enlil]-balāssu-iqbi,,Male,,1118,-,-,-,-,-,-,"less probable","CBS 5174+",,"Stolper 1985, no. 13",Murašû,"Legal document","[-].III?.38 Art I",427,Broken/Unclear,,https://cdli.ucla.edu/P261366,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486745,,,140,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
Aqara,Iddināya,,Male,,1122,-,-,-,-,-,-,"less probable","CBS 5174+",,"Stolper 1985, no. 13",Murašû,"Legal document","[-].III?.38 Art I",427,Broken/Unclear,,https://cdli.ucla.edu/P261366,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486745,,,140,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
Aqara,Iddināya,,Male,,1144,-,-,-,-,-,-,"less probable","CBS 4999","CBS 12998","Stolper 1985, no. 14",Murašû,"Legal document","25.VII.40 [Art I]",[425],Nippur,Seals,https://cdli.ucla.edu/P261192,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486748,,,142,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
Aqara,Iddināya,,Male,,1225,-,-,-,-,-,-,"less probable","CBS 12861",,"Stolper 1985, no. 19",Murašû,"Legal document","01.III.38 Art I",427,Nippur,,https://cdli.ucla.edu/P267462,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486763,,,151,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
Aqara,Nādinu,,Male,,1203,-,-,-,-,-,-,"less probable","CBS 12892",,"Stolper 1985, no. 17",Murašû,"Legal document","30.III.31 Art I",434,Nippur,,https://cdli.ucla.edu/P267493,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486757,,,148,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
Arad-Enlil,Iddin-Enlil,,Male,,1202,-,-,-,-,-,-,"less probable","CBS 12892",,"Stolper 1985, no. 17",Murašû,"Legal document","30.III.31 Art I",434,Nippur,,https://cdli.ucla.edu/P267493,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486757,,,148,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
Arad-Enlil,Širikti-Ninurta,,Male,,1656,-,-,-,-,-,-,"less probable","CBS 12894",,"Stolper 1985, no. 27",Murašû,"Legal document","25.VII.40 Art I",425,Nippur,Seals,https://cdli.ucla.edu/P267495,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486807,,,217,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
Arad-Ninurta,Erība-Enlil,,Male,,892,-,-,-,-,-,-,"less probable","CBS 12864",,"Stolper 1985, no. 3",Murašû,"Legal document","20.I.[22] Art I",[443],Nippur,Epigraphs,https://cdli.ucla.edu/P267465,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3484101,,,110,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
Ardia,Ṭābia,,Male,,1143,-,-,-,-,-,-,"less probable","CBS 4999","CBS 12998","Stolper 1985, no. 14",Murašû,"Legal document","25.VII.40 [Art I]",[425],Nippur,Seals,https://cdli.ucla.edu/P261192,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486748,,,142,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
Ardia,Ṭābia,,Male,,1664,-,-,-,-,-,-,"less probable","CBS 12894",,"Stolper 1985, no. 27",Murašû,"Legal document","25.VII.40 Art I",425,Nippur,Seals,https://cdli.ucla.edu/P267495,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486807,,,217,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
Artaxerxes,,,Male,,8323,-,-,-,-,-,-,"less probable","CBS 12864",,"Stolper 1985, no. 3",Murašû,"Legal document","20.I.[22] Art I",[443],Nippur,Epigraphs,https://cdli.ucla.edu/P267465,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3484101,,,110,"king in date","šar mātāti","TypeLegal documentSubtypesub-lease contract (ana sūti)"
Artaxerxes,,,Male,,8339,-,-,-,-,-,-,"less probable","CBS 5174+",,"Stolper 1985, no. 13",Murašû,"Legal document","[-].III?.38 Art I",427,Broken/Unclear,,https://cdli.ucla.edu/P261366,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486745,,,140,"king in date",šarru,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
Artaxerxes,,,Male,,8340,-,-,-,-,-,-,"less probable","CBS 4999","CBS 12998","Stolper 1985, no. 14",Murašû,"Legal document","25.VII.40 [Art I]",[425],Nippur,Seals,https://cdli.ucla.edu/P261192,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486748,,,142,"king in date",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
